CC_ID,CLUSTER_ID,PRIORITY
ent_sore_throat,CL_ENT_MONO,70
ent_sore_throat,CL_ENT_VIRAL_PHARYNGITIS,50
gu_flank_pain,CL_FLNK_INFECTED_OBSTRUCTING_STONE,100
gu_flank_pain,CL_FLNK_PYELONEPHRITIS,90
gu_flank_pain,CL_FLNK_NEPHROLITHIASIS,70
gu_flank_pain,CL_FLNK_MSK,50
msk_back_pain,CL_BKPN_CAUDA_EQUINA,100
msk_back_pain,CL_BKPN_SPINAL_INFECTION,95
msk_back_pain,CL_BKPN_FRACTURE,90
msk_back_pain,CL_BKPN_CANCER_REDFLAG,85
msk_back_pain,CL_BKPN_RADICULAR,70
msk_back_pain,CL_BKPN_MECHANICAL,60
ophtho_red_eye,CL_ORE_TRAUMA_CHEM,100
ophtho_red_eye,CL_ORE_KERATITIS,90
ophtho_red_eye,CL_ORE_UVEITIS_GLAUCOMA,85
ophtho_red_eye,CL_ORE_BACT_CONJ,70
ophtho_red_eye,CL_ORE_VIRAL_CONJ,50
tox_overdose_intoxication,CL_TOX_OPIOID_LIKE,100
tox_overdose_intoxication,CL_TOX_SEROTONIN_LIKE,95
tox_overdose_intoxication,CL_TOX_ANTICHOLINERGIC_LIKE,90
tox_overdose_intoxication,CL_TOX_STIMULANT_LIKE,85
tox_overdose_intoxication,CL_TOX_SEDATIVE_LIKE,70
tox_overdose_intoxication,CL_TOX_MIXED_UNKNOWN,50
id_fever,CL_FEV_MENINGITIS,100
id_fever,CL_FEV_NEUTROPENIC,95
id_fever,CL_FEV_PNEUMONIA_SRC,85
id_fever,CL_FEV_URINARY_SRC,80
id_fever,CL_FEV_SKIN_SRC,75
id_fever,CL_FEV_VIRAL,50
ortho_trauma_head_injury,CL_HI_HIGH_RISK_NEURO,100
ortho_trauma_head_injury,CL_HI_ICH_RISK,95
ortho_trauma_head_injury,CL_HI_DANGER_MECH,80
ortho_trauma_head_injury,CL_HI_CONCUSSION,70
ortho_trauma_head_injury,CL_HI_MINOR,50
psych_anxiety_panic,CL_PANIC_MEDICAL_MIMIC,100
psych_anxiety_panic,CL_PANIC_SUBSTANCE,80
psych_anxiety_panic,CL_PANIC_PRIMARY,60
environmental_heat_illness,CL_ENV_HEAT_STROKE,100
environmental_heat_illness,CL_ENV_HEAT_EXHAUSTION,70
environmental_heat_illness,CL_ENV_HEAT_CRAMPS_DEHYD,60
environmental_hypothermia_cold_exposure,CL_ENV_HYPO_SEVERE,100
environmental_hypothermia_cold_exposure,CL_ENV_FROSTBITE,90
environmental_hypothermia_cold_exposure,CL_ENV_HYPO_MILD,60
allergic_rhinitis,CL_AR_PRIMARY,1
allergic_rhinitis,CL_AR_SECONDARY,2
allergic_rhinitis,CL_AR_BENIGN,3
dental_pain,CL_DP_PRIMARY,1
dental_pain,CL_DP_SECONDARY,2
dental_pain,CL_DP_BENIGN,3
insomnia,CL_I_PRIMARY,1
insomnia,CL_I_SECONDARY,2
insomnia,CL_I_BENIGN,3
cough,CL_C_PRIMARY,1
cough,CL_C_SECONDARY,2
cough,CL_C_BENIGN,3
cough,CL_C_VIRAL_URI,50
cough,CL_C_ASTHMA_EXACERBATION,40
cough,CL_C_PNEUMONIA,30
cough,CL_C_COPD_EXACERBATION,20
cough,CL_C_GERD,10
sinus_pressure,CL_SP_PRIMARY,1
sinus_pressure,CL_SP_SECONDARY,2
sinus_pressure,CL_SP_BENIGN,3
sinus_pressure,CL_SP_VIRAL_RHINOSINUSITIS,40
sinus_pressure,CL_SP_ALLERGIC_RHINITIS,30
sinus_pressure,CL_SP_ACUTE_BACTERIAL_SINUSITIS,20
sinus_pressure,CL_SP_DENTAL_SOURCE,10
chest_pain,CL_CP_MI,50
chest_pain,CL_CP_PE,40
chest_pain,CL_CP_PNEUMOTHORAX,30
chest_pain,CL_CP_GERD,20
chest_pain,CL_CP_COSTOCHONDRITIS,10
